site_id,sitename,location,lon,lat,met_filename,met_start_date,met_end_date,cohort_filename,start_date,end_date
1000012636,MANDIFORE-SEUS-10689,SEUS,-76.4943607,37.4659916,NARR_ED2_site_1-12636,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12636,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012709,MANDIFORE-SEUS-10827,SEUS,-76.4192742,38.1829571,NARR_ED2_site_1-12709,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12709,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012732,MANDIFORE-SEUS-10870,SEUS,-77.0054987,38.6404009,NARR_ED2_site_1-12732,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12732,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012744,MANDIFORE-SEUS-10891,SEUS,-76.6178068,38.7615351,NARR_ED2_site_1-12744,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12744,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012761,MANDIFORE-SEUS-1092,SEUS,-93.8490267,30.144346,NARR_ED2_site_1-12761,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12761,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012779,MANDIFORE-SEUS-1098,SEUS,-91.5647308,30.0756736,NARR_ED2_site_1-12779,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12779,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012798,MANDIFORE-SEUS-1121,SEUS,-83.0141411,29.3899729,NARR_ED2_site_1-12798,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12798,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012800,MANDIFORE-SEUS-1123,SEUS,-82.810137,29.365195,NARR_ED2_site_1-12800,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12800,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012807,MANDIFORE-SEUS-1134,SEUS,-81.6903474,29.2220406,NARR_ED2_site_1-12807,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12807,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012823,MANDIFORE-SEUS-1156,SEUS,-94.6789906,30.2475685,NARR_ED2_site_1-12823,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12823,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
