site,ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
MANDIFORE-SEUS-5605,13,0.017584895715117455,0,15.205887794494629,0,1.3383863461946532e-10,8.508851578881149e-8,0.47763851284980774,-91.2805832,33.2113616,244,10,2004-09-01
MANDIFORE-SEUS-5605,13,0.016283469274640083,0,15.205887794494629,0,5.291934113138552e-10,1.0705728215043564e-7,0.4624636769294739,-91.2805832,33.2113616,274,10,2004-10-01
MANDIFORE-SEUS-5605,13,0.016122683882713318,0,15.205887794494629,0,1.505013225155949e-9,1.0819173468235022e-7,0.45499682426452637,-91.2805832,33.2113616,305,10,2004-11-01
MANDIFORE-SEUS-5605,13,0.016120878979563713,0,15.205887794494629,0,1.907768609754612e-9,1.0255183013896385e-7,0.454359233379364,-91.2805832,33.2113616,0,11,2004-01-01
MANDIFORE-SEUS-5605,13,0.015948662534356117,0,15.205887794494629,0,1.033818364248873e-9,5.620915288773176e-8,0.44747182726860046,-91.2805832,33.2113616,31,11,2004-02-01
MANDIFORE-SEUS-5605,13,0.0167407114058733,0,15.848475456237793,0,1.2836792739889802e-9,1.726199272411577e-8,0.8412933945655823,-91.2805832,33.2113616,60,11,2004-03-01
MANDIFORE-SEUS-5605,13,0.015589887276291847,0,15.848475456237793,-7.152557373046875e-7,1.3771662699113563e-9,6.340316716091365e-9,0.8347524404525757,-91.2805832,33.2113616,91,11,2004-04-01
MANDIFORE-SEUS-5605,13,0.07985430955886841,0,22.903491973876953,0,-9.939996742369672e-12,0,0.49937668442726135,-91.2805832,33.2113616,121,11,2004-05-01
MANDIFORE-SEUS-5605,13,0.07408663630485535,0,22.903491973876953,-5.364418029785156e-7,4.1336510603340315e-11,2.0457679994478895e-9,0.49542659521102905,-91.2805832,33.2113616,152,11,2004-06-01
MANDIFORE-SEUS-5605,13,0.06838210672140121,0,22.903491973876953,0,-8.36827621086833e-11,6.38994279711369e-9,0.4896232485771179,-91.2805832,33.2113616,182,11,2004-07-01
MANDIFORE-SEUS-5605,13,0.06327785551548004,0,22.903491973876953,0,-1.7749419989332438e-10,9.632159070349644e-9,0.47989797592163086,-91.2805832,33.2113616,213,11,2004-08-01
MANDIFORE-SEUS-5605,13,0.0583764873445034,0,22.91637420654297,0.15459519624710083,-7.931639234293186e-10,9.941373946276144e-9,0.4642178416252136,-91.2805832,33.2113616,244,11,2004-09-01
MANDIFORE-SEUS-5605,13,0.05834893509745598,0,30.441301345825195,0,-4.3753864420459365e-10,5.872678343621374e-9,0.4601386785507202,-91.2805832,33.2113616,274,11,2004-10-01
MANDIFORE-SEUS-5605,13,0.05384010076522827,0,30.441301345825195,0,-1.1788049703032044e-10,1.7344788938444822e-9,0.4461720585823059,-91.2805832,33.2113616,305,11,2004-11-01
MANDIFORE-SEUS-5605,13,0.038581423461437225,0.037247560918331146,35.44068908691406,-7.152557373046875e-7,3.059340656363929e-7,4.3594636167654244e-7,2.2645773887634277,-91.2805832,33.2113616,0,1,2005-01-01
MANDIFORE-SEUS-5605,13,0.038517020642757416,0.07909755408763885,36.975990295410156,2.1457672119140625e-6,6.343776703943149e-7,1.3478038454195485e-6,2.1009860038757324,-91.2805832,33.2113616,31,1,2005-02-01
MANDIFORE-SEUS-5605,13,0.041905008256435394,0.13539917767047882,39.81404113769531,2.86102294921875e-6,9.616835541237378e-7,2.9000248105148785e-6,1.9775333404541016,-91.2805832,33.2113616,59,1,2005-03-01
MANDIFORE-SEUS-5605,13,0.04905310645699501,0.31507277488708496,43.66386413574219,-1.430511474609375e-6,2.0268457774363924e-6,7.968602403707337e-6,2.3231544494628906,-91.2805832,33.2113616,90,1,2005-04-01
MANDIFORE-SEUS-5605,13,0.05771598592400551,0.37300240993499756,47.86158752441406,7.152557373046875e-7,2.2313954559649574e-6,1.2992786651011556e-5,3.016282796859741,-91.2805832,33.2113616,120,1,2005-05-01
MANDIFORE-SEUS-5605,13,0.06452668458223343,0.29722142219543457,54.76144790649414,5.364418029785156e-6,1.8542024236012367e-6,1.5359762983280234e-5,3.415780782699585,-91.2805832,33.2113616,151,1,2005-06-01
MANDIFORE-SEUS-5605,13,0.06851601600646973,0.29853805899620056,57.61923599243164,-2.5033950805664062e-06,1.9384356164664496e-6,1.487979716330301e-5,3.8854002952575684,-91.2805832,33.2113616,181,1,2005-07-01
MANDIFORE-SEUS-5605,13,0.06886416673660278,0.2272597849369049,58.37188720703125,-8.940696716308594e-7,1.45409751439729e-6,1.531821908429265e-5,4.105010032653809,-91.2805832,33.2113616,212,1,2005-08-01
MANDIFORE-SEUS-5605,13,0.07881216704845428,0.3145503103733063,63.10017395019531,2.5033950805664062e-06,2.0434656562429154e-6,1.5045828149595764e-5,4.816811561584473,-91.2805832,33.2113616,243,1,2005-09-01
MANDIFORE-SEUS-5605,13,0.08323314785957336,0.2927916944026947,66.95182037353516,-1.7881393432617188e-07,1.773950430106197e-6,9.716090971778613e-6,5.146059513092041,-91.2805832,33.2113616,273,1,2005-10-01
MANDIFORE-SEUS-5605,13,0.0773308053612709,0.09504471719264984,67.60643005371094,3.5762786865234375e-7,7.423537340400799e-7,2.837472038663691e-6,4.7377400398254395,-91.2805832,33.2113616,304,1,2005-11-01
MANDIFORE-SEUS-5605,13,0.06314463913440704,0.007199358195066452,67.82191467285156,2.1457672119140625e-6,1.9933739281441376e-7,3.8087787856966315e-7,3.8484864234924316,-91.2805832,33.2113616,0,8,2005-01-01
MANDIFORE-SEUS-5605,13,0.10326569527387619,0,44.886043548583984,0.9669358730316162,6.737072453688597e-6,8.295490943055484e-7,0.8939220905303955,-91.2805832,33.2113616,31,8,2005-02-01
MANDIFORE-SEUS-5605,13,0.09977047145366669,0,44.886043548583984,0,1.2014688763883896e-5,2.2175520371092716e-6,0.8854449987411499,-91.2805832,33.2113616,59,8,2005-03-01
MANDIFORE-SEUS-5605,13,0.09656151384115219,0,44.886043548583984,0,1.7918004232342355e-5,4.238255769450916e-6,0.8656264543533325,-91.2805832,33.2113616,90,8,2005-04-01
MANDIFORE-SEUS-5605,13,0.0970497578382492,0,44.886043548583984,0,2.0915769709972665e-5,7.149067187128821e-6,0.8300674557685852,-91.2805832,33.2113616,120,8,2005-05-01
MANDIFORE-SEUS-5605,13,0.09712996333837509,0,44.886043548583984,0,1.7742771888151765e-5,9.253042662749067e-6,0.8080015778541565,-91.2805832,33.2113616,151,8,2005-06-01
MANDIFORE-SEUS-5605,13,0.09664693474769592,0,44.886043548583984,0,1.1996259672741871e-5,9.966162906493992e-6,0.795358419418335,-91.2805832,33.2113616,181,8,2005-07-01
MANDIFORE-SEUS-5605,13,0.09566153585910797,0,44.886043548583984,0,1.0171635949518532e-5,8.458010597678367e-6,0.7710856199264526,-91.2805832,33.2113616,212,8,2005-08-01
MANDIFORE-SEUS-5605,13,0.09266458451747894,0,44.886043548583984,0,9.244330613000784e-6,9.04698663362069e-6,0.7470877766609192,-91.2805832,33.2113616,243,8,2005-09-01
MANDIFORE-SEUS-5605,13,0.08734264224767685,0,44.886043548583984,0,1.1813353921752423e-5,7.394880412903149e-6,0.7243837714195251,-91.2805832,33.2113616,273,8,2005-10-01
MANDIFORE-SEUS-5605,13,0.08352493494749069,0,44.886043548583984,0,1.3040276826359332e-5,4.375275238999166e-6,0.7038130164146423,-91.2805832,33.2113616,304,8,2005-11-01
MANDIFORE-SEUS-5605,13,0.08349642157554626,0,45.12882995605469,0,7.959946742630564e-6,1.713673327685683e-6,1.2439203262329102,-91.2805832,33.2113616,0,9,2005-01-01
MANDIFORE-SEUS-5605,13,0.08351225405931473,0,45.238929748535156,1.3211758136749268,4.974101557309041e-6,4.4100983132011606e-7,1.2380982637405396,-91.2805832,33.2113616,31,9,2005-02-01
MANDIFORE-SEUS-5605,13,0.02426857315003872,0,30.22757339477539,0,6.516832229408465e-8,4.119140584180059e-8,0.79176926612854,-91.2805832,33.2113616,59,9,2005-03-01
MANDIFORE-SEUS-5605,13,0.023844977840781212,0,30.22757339477539,0,6.20390153471817e-7,5.255979544926959e-7,0.7895647287368774,-91.2805832,33.2113616,90,9,2005-04-01
MANDIFORE-SEUS-5605,13,0.023411402478814125,0,30.22757339477539,0,8.472280228488671e-7,8.358864533875021e-7,0.7870255708694458,-91.2805832,33.2113616,120,9,2005-05-01
MANDIFORE-SEUS-5605,13,0.023024434223771095,0,30.22757339477539,0,9.676818990556058e-7,1.3911309224567958e-6,0.7843523621559143,-91.2805832,33.2113616,151,9,2005-06-01
MANDIFORE-SEUS-5605,13,0.07111728191375732,0,38.61464309692383,100.64482879638672,8.91173158379388e-7,2.0595202840922866e-6,0.7804093956947327,-91.2805832,33.2113616,181,9,2005-07-01
MANDIFORE-SEUS-5605,13,0.07800225913524628,0,48.82080841064453,0,8.263085078397125e-7,5.747871909989044e-6,0.7823967933654785,-91.2805832,33.2113616,212,9,2005-08-01
MANDIFORE-SEUS-5605,13,0.07755400240421295,0,48.82080841064453,0,6.703210146952188e-7,7.10184076524456e-6,0.7738963961601257,-91.2805832,33.2113616,243,9,2005-09-01
MANDIFORE-SEUS-5605,13,0.07715956121683121,0,48.82080841064453,0,5.521910679817665e-7,7.405942596960813e-6,0.7658199667930603,-91.2805832,33.2113616,273,9,2005-10-01
MANDIFORE-SEUS-5605,13,0.0769142359495163,0,49.49861145019531,0,9.077011213776132e-7,6.1579348766827025e-6,1.2584444284439087,-91.2805832,33.2113616,304,9,2005-11-01
MANDIFORE-SEUS-5605,13,0.07656697928905487,0,49.49861145019531,0,1.0644116628100164e-6,3.487989715722506e-6,1.250375747680664,-91.2805832,33.2113616,0,10,2005-01-01
MANDIFORE-SEUS-5605,13,0.06752444058656693,0,49.49861145019531,0,3.5631671835290035e-7,8.536274549442169e-7,1.2429335117340088,-91.2805832,33.2113616,31,10,2005-02-01
MANDIFORE-SEUS-5605,13,0.06721026450395584,0,49.49861145019531,0,-1.1074560823942647e-8,1.5570143785392787e-10,1.2355990409851074,-91.2805832,33.2113616,59,10,2005-03-01
MANDIFORE-SEUS-5605,13,0.0160668957978487,0,15.848475456237793,0,9.832899772188597e-11,2.7130691027110743e-9,0.8277501463890076,-91.2805832,33.2113616,90,10,2005-04-01
MANDIFORE-SEUS-5605,13,0.015941843390464783,0,15.848475456237793,0,1.99150607116394e-9,2.4822027100412924e-8,0.8117941617965698,-91.2805832,33.2113616,120,10,2005-05-01
MANDIFORE-SEUS-5605,13,0.014681671746075153,0,15.68782901763916,0,3.772556045333886e-9,5.143940029483929e-8,0.7214537262916565,-91.2805832,33.2113616,151,10,2005-06-01
